task_type,task_id,difficulty,model,strain_true,strain_pred,resistance_true,resistance_pred,strain_error,resistance_error,normalized_error,score,fatigue_true,fatigue_pred,fatigue_error,horizon,mean_strain_error,mean_resistance_error
forward,F_easy_000,easy,Random baseline,0.13403312415720978,0.26577451449239203,135.1267639889491,195.2726963938641,0.13174139033518226,60.14593240491499,5.0406651029002445,0.16554468472683248,,,,,,
forward,F_easy_000,easy,Last-value baseline,0.13403312415720978,0.13403312415720978,135.1267639889491,141.75167927303792,0.0,6.624915284088814,0.26499661136355257,0.7905159515977594,,,,,,
forward,F_easy_000,easy,Curve-fit baseline,0.13403312415720978,0.13403312415720978,135.1267639889491,133.54302094049686,0.0,1.5837430484522486,0.06334972193808994,0.9404243772005442,,,,,,
forward,F_easy_000,easy,Oracle simulator,0.13403312415720978,0.13403312415720978,135.1267639889491,135.1267639889491,0.0,0.0,0.0,1.0,,,,,,
forward,F_easy_001,easy,Random baseline,0.15697250442213564,0.36009868196139344,131.46267643868737,153.97693326197478,0.2031261775392578,22.51425682328741,4.963093823716652,0.16769818311809226,,,,,,
forward,F_easy_001,easy,Last-value baseline,0.15697250442213564,0.15697250442213564,131.46267643868737,126.56526018382571,0.0,4.897416254861653,0.19589665019446614,0.8361926591544419,,,,,,
forward,F_easy_001,easy,Curve-fit baseline,0.15697250442213564,0.15697250442213564,131.46267643868737,130.64172655162218,0.0,0.8209498870651828,0.03283799548260731,0.9682060539733889,,,,,,
forward,F_easy_001,easy,Oracle simulator,0.15697250442213564,0.15697250442213564,131.46267643868737,131.46267643868737,0.0,0.0,0.0,1.0,,,,,,
forward,F_easy_002,easy,Random baseline,0.06317902652367571,0.11166406928767386,115.5081001847042,286.39866785772216,0.04848504276399815,170.89056767301796,7.805323562200681,0.1135676608515308,,,,,,
forward,F_easy_002,easy,Last-value baseline,0.06317902652367571,0.06317902652367571,115.5081001847042,116.36170405681929,0.0,0.8536038721150874,0.0341441548846035,0.9669831766457999,,,,,,
forward,F_easy_002,easy,Curve-fit baseline,0.06317902652367571,0.06317902652367571,115.5081001847042,115.37576282956033,0.0,0.1323373551438749,0.005293494205754996,0.9947343793267684,,,,,,
forward,F_easy_002,easy,Oracle simulator,0.06317902652367571,0.06317902652367571,115.5081001847042,115.5081001847042,0.0,0.0,0.0,1.0,,,,,,
forward,F_easy_003,easy,Random baseline,0.09863137266497976,0.10595767696940808,124.23756792243107,292.90536304061277,0.007326304304428322,168.6677951181817,6.893237890815834,0.12669072107449703,,,,,,
forward,F_easy_003,easy,Last-value baseline,0.09863137266497976,0.09863137266497976,124.23756792243107,130.58792568684345,0.0,6.350357764412379,0.25401431057649515,0.7974390655400737,,,,,,
forward,F_easy_003,easy,Curve-fit baseline,0.09863137266497976,0.09863137266497976,124.23756792243107,122.64051713819612,0.0,1.597050784234952,0.06388203136939807,0.9399538393489256,,,,,,
forward,F_easy_003,easy,Oracle simulator,0.09863137266497976,0.09863137266497976,124.23756792243107,124.23756792243107,0.0,0.0,0.0,1.0,,,,,,
forward,F_easy_004,easy,Random baseline,0.09373078362396212,0.36025725060590075,125.04347103420078,236.0417533861391,0.2665264669819386,110.99828235193833,9.770460633716304,0.09284653962427176,,,,,,
forward,F_easy_004,easy,Last-value baseline,0.09373078362396212,0.09373078362396212,125.04347103420078,125.95684195234081,0.0,0.913370918140032,0.03653483672560128,0.9647529099542719,,,,,,
forward,F_easy_004,easy,Curve-fit baseline,0.09373078362396212,0.09373078362396212,125.04347103420078,124.18903246109159,0.0,0.8544385731091921,0.034177542924367685,0.9669519579513176,,,,,,
forward,F_easy_004,easy,Oracle simulator,0.09373078362396212,0.09373078362396212,125.04347103420078,125.04347103420078,0.0,0.0,0.0,1.0,,,,,,
forward,F_easy_005,easy,Random baseline,0.0394936747607225,0.23494733968265186,113.32120199196542,277.051121366123,0.19545366492192937,163.7299193741576,10.45827007340489,0.08727320909646218,,,,,,
forward,F_easy_005,easy,Last-value baseline,0.0394936747607225,0.0394936747607225,113.32120199196542,123.29792040752372,0.0,9.976718415558295,0.39906873662233183,0.7147611649261966,,,,,,
forward,F_easy_005,easy,Curve-fit baseline,0.0394936747607225,0.0394936747607225,113.32120199196542,115.10218965810007,0.0,1.7809876661346493,0.07123950664538597,0.9334980588342244,,,,,,
forward,F_easy_005,easy,Oracle simulator,0.0394936747607225,0.0394936747607225,113.32120199196542,113.32120199196542,0.0,0.0,0.0,1.0,,,,,,
forward,F_easy_006,easy,Random baseline,0.14085520983636318,0.22765506450717982,138.84799648652967,84.32124104621012,0.08679985467081663,54.52675544031955,3.9170673110291148,0.20337325823402355,,,,,,
forward,F_easy_006,easy,Last-value baseline,0.14085520983636318,0.14085520983636318,138.84799648652967,149.55155681839346,0.0,10.703560331863798,0.42814241327455194,0.7002102806449989,,,,,,
forward,F_easy_006,easy,Curve-fit baseline,0.14085520983636318,0.14085520983636318,138.84799648652967,131.98901992491196,0.0,6.858976561617709,0.27435906246470837,0.784708195244379,,,,,,
forward,F_easy_006,easy,Oracle simulator,0.14085520983636318,0.14085520983636318,138.84799648652967,138.84799648652967,0.0,0.0,0.0,1.0,,,,,,
forward,F_easy_007,easy,Random baseline,0.08798295535964831,0.21677593847327636,119.42797224082103,294.21773766192837,0.12879298311362805,174.78976542110735,9.567450279116855,0.09463020630209884,,,,,,
forward,F_easy_007,easy,Last-value baseline,0.08798295535964831,0.08798295535964831,119.42797224082103,120.2734001369501,0.0,0.8454278961290669,0.03381711584516268,0.9672890733507379,,,,,,
forward,F_easy_007,easy,Curve-fit baseline,0.08798295535964831,0.08798295535964831,119.42797224082103,119.346104636847,0.0,0.08186760397403248,0.0032747041589612992,0.996735984526086,,,,,,
forward,F_easy_007,easy,Oracle simulator,0.08798295535964831,0.08798295535964831,119.42797224082103,119.42797224082103,0.0,0.0,0.0,1.0,,,,,,
forward,F_easy_008,easy,Random baseline,0.18770047378305596,0.2974104202522851,145.89759664541342,252.85556607726193,0.10970994646922913,106.95796943184851,6.4725177066585236,0.1338237043063721,,,,,,
