episode_id,difficulty,param_damage_rate,param_recovery_rate,param_strain_sensitivity,param_fatigue_sensitivity,param_r0
E_easy_000,easy,0.11965604437003671,0.17949905957768472,1.7,2.1,100.0
E_easy_001,easy,0.06257772352483788,0.15799173822275975,1.7,2.1,100.0
E_easy_002,easy,0.060620531190846386,0.22657078980945633,1.7,2.1,100.0
E_easy_003,easy,0.09686051622243841,0.17950203142745422,1.7,2.1,100.0
E_easy_004,easy,0.10394445123687593,0.2187105836753718,1.7,2.1,100.0
E_easy_005,easy,0.12809650583984103,0.19427964416048532,1.7,2.1,100.0
E_easy_006,easy,0.12592174564379777,0.22123878295348554,1.7,2.1,100.0
E_easy_007,easy,0.10343138040197188,0.21043616941665924,1.7,2.1,100.0
E_easy_008,easy,0.10294321999722987,0.2017486728594904,1.7,2.1,100.0
E_easy_009,easy,0.06396916931969818,0.20611589827416454,1.7,2.1,100.0
E_easy_010,easy,0.11318019629993344,0.1983153633981089,1.7,2.1,100.0
E_easy_011,easy,0.12526738614952143,0.22902197024152451,1.7,2.1,100.0
E_easy_012,easy,0.06724427086964299,0.14223408186187153,1.7,2.1,100.0
E_easy_013,easy,0.11419323766805285,0.20963486144764637,1.7,2.1,100.0
E_easy_014,easy,0.08783435943547495,0.22632883455601185,1.7,2.1,100.0
E_easy_015,easy,0.11283707530489222,0.1586318487372331,1.7,2.1,100.0
E_easy_016,easy,0.13861845802558795,0.17253824707752796,1.7,2.1,100.0
E_easy_017,easy,0.11098586872398147,0.20531926712438905,1.7,2.1,100.0
E_medium_000,medium,0.32836864652196907,0.10741122053012772,1.7,2.1,100.0
E_medium_001,medium,0.2268254746758899,0.1023883971541227,1.7,2.1,100.0
E_medium_002,medium,0.3379487017335238,0.13546462949630902,1.7,2.1,100.0
E_medium_003,medium,0.23256523674143476,0.11494551440503994,1.7,2.1,100.0
E_medium_004,medium,0.27379645002067526,0.09672890135670045,1.7,2.1,100.0
E_medium_005,medium,0.2835093248107271,0.12221493878954041,1.7,2.1,100.0
E_medium_006,medium,0.24364233481431935,0.09943234721774541,1.7,2.1,100.0
E_medium_007,medium,0.3202475131282514,0.1075964752229872,1.7,2.1,100.0
E_medium_008,medium,0.18304946989860166,0.09568685011294839,1.7,2.1,100.0
E_medium_009,medium,0.30159694824884786,0.09645728533968843,1.7,2.1,100.0
E_medium_010,medium,0.2328989310692471,0.13471756820053993,1.7,2.1,100.0
E_medium_011,medium,0.24692891010492113,0.10651230863214763,1.7,2.1,100.0
E_medium_012,medium,0.3286005445357228,0.08503228632291814,1.7,2.1,100.0
E_medium_013,medium,0.19558005680583512,0.09330635628467726,1.7,2.1,100.0
E_medium_014,medium,0.24589611399092645,0.10954516268276943,1.7,2.1,100.0
E_medium_015,medium,0.2628101251700334,0.14952622179619027,1.7,2.1,100.0
E_medium_016,medium,0.3127085357309946,0.08821289174393714,1.7,2.1,100.0
E_medium_017,medium,0.2986347604368139,0.0969485235066615,1.7,2.1,100.0
E_hard_000,hard,0.3864243386223045,0.0289217493801665,1.7,2.1,100.0
E_hard_001,hard,0.41215365693662587,0.07063624505687013,1.7,2.1,100.0
E_hard_002,hard,0.5778611791604059,0.05397252772492692,1.7,2.1,100.0
E_hard_003,hard,0.39929291865336586,0.07471473038375134,1.7,2.1,100.0
E_hard_004,hard,0.4952420837214236,0.04794894854222774,1.7,2.1,100.0
E_hard_005,hard,0.5112574657241717,0.027605487870121938,1.7,2.1,100.0
E_hard_006,hard,0.3888026886722298,0.02784468204165151,1.7,2.1,100.0
E_hard_007,hard,0.5784177505994978,0.04378460442108926,1.7,2.1,100.0
E_hard_008,hard,0.38153432164726914,0.04017581131224473,1.7,2.1,100.0
E_hard_009,hard,0.4892796944236694,0.06449342851488378,1.7,2.1,100.0
E_hard_010,hard,0.5725645775809988,0.05370890627649279,1.7,2.1,100.0
E_hard_011,hard,0.46692995490339206,0.048987503245700795,1.7,2.1,100.0
E_hard_012,hard,0.41163476759141704,0.055155032482200377,1.7,2.1,100.0
E_hard_013,hard,0.5342995841774885,0.06641903004912804,1.7,2.1,100.0
E_hard_014,hard,0.5046134715890421,0.06461188159514651,1.7,2.1,100.0
E_hard_015,hard,0.4696920084462678,0.02686327873284061,1.7,2.1,100.0
E_hard_016,hard,0.43032642487795913,0.041167825900851406,1.7,2.1,100.0
E_hard_017,hard,0.4495082846659818,0.07683775405784148,1.7,2.1,100.0
